dcterms:title,schema:artform,dcterms:alternative,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,dcterms:temporal,crm:P4_has_time-span,crm:P7_took_place_at,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by,dcterms:abstract,crm:P72_has_language,dcterms:subject,schema:itemCondition,schema:observationDate,crm:P31i_was_modified_by,schema:dateModified,restoration_date_string,dcterms:isPartOf,dcterms:hasPart,crm:P59_has_section,schema:artworkSurface,dcterms:isReferencedBy,dcterms:source,dcterms:identifier,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,crm:P138i_has_representation,dcterms:image
"Noli me Tangere avec saint Pierre martyr, la Visitation, David, la Rencontre de saint François d'Assise et de saint Dominique, saint Onuphre§Allégorie de la Résurrection du Christ",peinture,,MI 544,Musée du Petit Palais Avignon,"43.949317,4.805528",4e quart du 15e siècle - 1er quart du 16e siècle,1476§1525,,,,"Botticelli, Sandro§Maestro di Apollo e Dafne§Anonyme florentin","Botticelli, Sandro",,,,,,,,,,,,5b6e6d6f-9745-438a-9f06-070d1652ce2f_004§5b6e6d6f-9745-438a-9f06-070d1652ce2f_005§5b6e6d6f-9745-438a-9f06-070d1652ce2f_006§5b6e6d6f-9745-438a-9f06-070d1652ce2f_007§5b6e6d6f-9745-438a-9f06-070d1652ce2f_008§5b6e6d6f-9745-438a-9f06-070d1652ce2f_009§5b6e6d6f-9745-438a-9f06-070d1652ce2f_010§5b6e6d6f-9745-438a-9f06-070d1652ce2f_011§5b6e6d6f-9745-438a-9f06-070d1652ce2f_012§5b6e6d6f-9745-438a-9f06-070d1652ce2f_013§5b6e6d6f-9745-438a-9f06-070d1652ce2f_014§5b6e6d6f-9745-438a-9f06-070d1652ce2f_015§5b6e6d6f-9745-438a-9f06-070d1652ce2f_016§5b6e6d6f-9745-438a-9f06-070d1652ce2f_017§5b6e6d6f-9745-438a-9f06-070d1652ce2f_018§5b6e6d6f-9745-438a-9f06-070d1652ce2f_019§5b6e6d6f-9745-438a-9f06-070d1652ce2f_020§5b6e6d6f-9745-438a-9f06-070d1652ce2f_021§5b6e6d6f-9745-438a-9f06-070d1652ce2f_022§5b6e6d6f-9745-438a-9f06-070d1652ce2f_023,5b6e6d6f-9745-438a-9f06-070d1652ce2f_001§5b6e6d6f-9745-438a-9f06-070d1652ce2f_002§5b6e6d6f-9745-438a-9f06-070d1652ce2f_003,"Botticelli, Sandro 1444 - 17/05/1510, atelier de, Noli me Tangere (avec saint Pierre martyr, la Visitation, David, la Rencontre de saint François d'Assise et de saint Dominique, saint Onuphre), peinture (4e quart du 15e siècle - 1er quart du 16e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/5b6e6d6f-9745-438a-9f06-070d1652ce2f§https://www.pop.culture.gouv.fr/notice/joconde/000PE012596,5b6e6d6f-9745-438a-9f06-070d1652ce2f,Philomène Renard,13/02/2002,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/5b6e6d6f-9745-438a-9f06-070d1652ce2f,https://agorha.inha.fr/ark:/54721/371e9f2a-08e8-4785-860c-6080d063af8f/doc/fbe5125a-081f-44b1-a7cd-9f5b23352467/original.jpg
Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437-1444,1437§1444,,,,Sassetta,,Angelico,,,,,,,,,,,f15e4e4b-70ca-4406-aa3c-560c9e64b118_004§f15e4e4b-70ca-4406-aa3c-560c9e64b118_005§f15e4e4b-70ca-4406-aa3c-560c9e64b118_006§f15e4e4b-70ca-4406-aa3c-560c9e64b118_007§f15e4e4b-70ca-4406-aa3c-560c9e64b118_008§f15e4e4b-70ca-4406-aa3c-560c9e64b118_009§f15e4e4b-70ca-4406-aa3c-560c9e64b118_010§f15e4e4b-70ca-4406-aa3c-560c9e64b118_012§f15e4e4b-70ca-4406-aa3c-560c9e64b118_013§f15e4e4b-70ca-4406-aa3c-560c9e64b118_014§f15e4e4b-70ca-4406-aa3c-560c9e64b118_015§f15e4e4b-70ca-4406-aa3c-560c9e64b118_016§f15e4e4b-70ca-4406-aa3c-560c9e64b118_017§f15e4e4b-70ca-4406-aa3c-560c9e64b118_018§f15e4e4b-70ca-4406-aa3c-560c9e64b118_019§f15e4e4b-70ca-4406-aa3c-560c9e64b118_020§f15e4e4b-70ca-4406-aa3c-560c9e64b118_022§f15e4e4b-70ca-4406-aa3c-560c9e64b118_023§f15e4e4b-70ca-4406-aa3c-560c9e64b118_024§f15e4e4b-70ca-4406-aa3c-560c9e64b118_025§f15e4e4b-70ca-4406-aa3c-560c9e64b118_026§f15e4e4b-70ca-4406-aa3c-560c9e64b118_027§f15e4e4b-70ca-4406-aa3c-560c9e64b118_028§f15e4e4b-70ca-4406-aa3c-560c9e64b118_029§f15e4e4b-70ca-4406-aa3c-560c9e64b118_030§f15e4e4b-70ca-4406-aa3c-560c9e64b118_031§f15e4e4b-70ca-4406-aa3c-560c9e64b118_032§f15e4e4b-70ca-4406-aa3c-560c9e64b118_033§f15e4e4b-70ca-4406-aa3c-560c9e64b118_034§f15e4e4b-70ca-4406-aa3c-560c9e64b118_035§f15e4e4b-70ca-4406-aa3c-560c9e64b118_036§f15e4e4b-70ca-4406-aa3c-560c9e64b118_037,f15e4e4b-70ca-4406-aa3c-560c9e64b118_001§f15e4e4b-70ca-4406-aa3c-560c9e64b118_002§f15e4e4b-70ca-4406-aa3c-560c9e64b118_003§f15e4e4b-70ca-4406-aa3c-560c9e64b118_011§f15e4e4b-70ca-4406-aa3c-560c9e64b118_021,"Sassetta Vers 1392 - 1450, de, Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons, peinture (1437 - 1444)§Ministère de la Culture, Paris§Musée du Louvre (1793 - ), Paris",https://agorha.inha.fr/ark:/54721/f15e4e4b-70ca-4406-aa3c-560c9e64b118§https://www.pop.culture.gouv.fr/notice/joconde/00000104586§https://collections.louvre.fr/ark:/53355/cl010061315,f15e4e4b-70ca-4406-aa3c-560c9e64b118,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/f15e4e4b-70ca-4406-aa3c-560c9e64b118,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
Triptyque de l'Assomption de la Vierge,peinture§triptyque,,INV.MS. P 4731,Musée Marmottan Monet Paris§Dépôt,"48.859261,2.267227",4e quart du 13e siècle - 1er quart du 14e siècle,1276§1325,Fin 13e siècle - Début 14e siècle,,,Maestro di Cesi,,,,,,,,,,,,,,aca0f2ed-3e79-4af1-b124-01951b817c7a_001§aca0f2ed-3e79-4af1-b124-01951b817c7a_002,"Maestro di Cesi , de, Triptyque de l'Assomption de la Vierge, peinture (4e quart du 13e siècle - 1er quart du 14e siècle)",https://agorha.inha.fr/ark:/54721/aca0f2ed-3e79-4af1-b124-01951b817c7a,aca0f2ed-3e79-4af1-b124-01951b817c7a,Philomène Renard,22/06/2007,25/10/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/aca0f2ed-3e79-4af1-b124-01951b817c7a,https://agorha.inha.fr/ark:/54721/cf2a04c3-743c-4b76-a88f-dc91f3212c6b/doc/7b9c5e84-a1fc-4ab4-8e6c-278a835471c9/original.jpg
L'Assomption de la Vierge,peinture,,EdR 4732,Musée Marmottan Monet Paris§Dépôt,"48.859261,2.267227",1382-1382,1382§1382,,,,Bartolo di Fredi,,,,,,,,,,,,,e02cf624-8c5f-4606-aadb-5f4e2d8b8737_003§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_004§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_005§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_006§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_007§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_008§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_009§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_010§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_011§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_012§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_013§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_014§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_015§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_016§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_017§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_018§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_019§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_020§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_021§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_022§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_023§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_024§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_025§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_026§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_027§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_034§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_035§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_036§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_037§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_038§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_039§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_040§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_041§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_042§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_043§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_044§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_045§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_046§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_047§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_048§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_049§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_050§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_051§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_052,e02cf624-8c5f-4606-aadb-5f4e2d8b8737_001§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_002§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_028§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_029§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_030§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_031§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_032§e02cf624-8c5f-4606-aadb-5f4e2d8b8737_033,"Bartolo di Fredi 1330 - 1410, de, L'Assomption de la Vierge, peinture (1382)",https://agorha.inha.fr/ark:/54721/e02cf624-8c5f-4606-aadb-5f4e2d8b8737,e02cf624-8c5f-4606-aadb-5f4e2d8b8737,Léa Checri (pour le bloc matérialité),29/12/2001,12/04/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),,
Crucifixion et quatre scènes de la Passion du Christ,peinture§triptyque,,3789,Musée de l'Institute of Ethiopian Studies à ajouter,,16e siècle§4e quart du 14e siècle - 1er quart du 15e siècle,1496§1605§1376§1425,,Ethiopie§Gondar ?,"9,39.5",,,,,,Crucifixion§Passion,,,,,,,,,,"Crucifixion et quatre scènes de la Passion du Christ, peinture (Vers 16e siècle - )",http://agorha.inha.fr/ark:/54721/5216fd61-5bbb-49dc-9bbe-4a80953262e5,5216fd61-5bbb-49dc-9bbe-4a80953262e5,smirabau,16/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/5216fd61-5bbb-49dc-9bbe-4a80953262e5,http://agorha.inha.fr/ark:/54721/24f8aa3c-d7a3-4dbd-92d0-72e33d8acb26/doc/4175b3fa-ae42-4557-aebe-83a83df50115/original.JPG
Vierge à l'enfant et Crucifixion,peinture§diptyque,,4494,Musée de l'Institute of Ethiopian Studies à ajouter,,18e siècle,1701§1800,,Ethiopie,"9,39.5",,,,,,Vierge à l'Enfant§Crucifixion,,,,,,,,,,"Vierge à l'enfant et Crucifixion, peinture (18e siècle - )",http://agorha.inha.fr/ark:/54721/04fb2dfc-5251-4fc4-b68c-df4442a4396b,04fb2dfc-5251-4fc4-b68c-df4442a4396b,smirabau,16/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/04fb2dfc-5251-4fc4-b68c-df4442a4396b,http://agorha.inha.fr/ark:/54721/9d828db8-4700-42f4-9720-65e768249aab/doc/b83a328b-2ba0-479f-be14-9621439cf8c9/original.JPG
La Pentecôte MOD,peinture,,MFA 852.1.962,Palais Fesch-musée des beaux-arts Ajaccio,"41.919229,8.738635",1405-1410,1400§1410,,,,Mariotto di Nardo,,,,,,,,,,,,,f0a3b302-59be-45c8-8868-bc01d1c819fe_002§f0a3b302-59be-45c8-8868-bc01d1c819fe_003§f0a3b302-59be-45c8-8868-bc01d1c819fe_004§f0a3b302-59be-45c8-8868-bc01d1c819fe_005§f0a3b302-59be-45c8-8868-bc01d1c819fe_006§f0a3b302-59be-45c8-8868-bc01d1c819fe_007§f0a3b302-59be-45c8-8868-bc01d1c819fe_008§f0a3b302-59be-45c8-8868-bc01d1c819fe_009§f0a3b302-59be-45c8-8868-bc01d1c819fe_010§f0a3b302-59be-45c8-8868-bc01d1c819fe_011§f0a3b302-59be-45c8-8868-bc01d1c819fe_012§f0a3b302-59be-45c8-8868-bc01d1c819fe_013§f0a3b302-59be-45c8-8868-bc01d1c819fe_014§f0a3b302-59be-45c8-8868-bc01d1c819fe_015§f0a3b302-59be-45c8-8868-bc01d1c819fe_016§f0a3b302-59be-45c8-8868-bc01d1c819fe_017§f0a3b302-59be-45c8-8868-bc01d1c819fe_018,f0a3b302-59be-45c8-8868-bc01d1c819fe_001,"Mariotto di Nardo , de, La Pentecôte MOD, peinture (Vers 1405 - 1410)",https://agorha.inha.fr/ark:/54721/f0a3b302-59be-45c8-8868-bc01d1c819fe,f0a3b302-59be-45c8-8868-bc01d1c819fe,Mecthilde Airiau (pour le bloc matérialité),23/12/2001,04/04/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles§Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/f0a3b302-59be-45c8-8868-bc01d1c819fe,https://agorha.inha.fr/ark:/54721/e9a466c8-14ba-4ffe-bffb-193de1bd2a85/doc/4fdb88dd-9c35-4f52-b3e7-a9148a2fec7a/original.jpg
"Les douze apôtres, la Vierge et l'Enfant",peinture§diptyque,,10249,Musée de l'Institute of Ethiopian Studies,,1480-1520,1475§1525,,Ethiopie,"9,39.5","Brancaleon, Nicolò",,,"signé au revers. En latin ""H(oc est) opus meus Nicolaus Brancaleo venetus"" : ceci est mon œuvre, Nicolas Brancaleon le vénitien. En grec : moi, Nicolas le moine (monakos) ait peint cette icône (eikon)",,Vierge à l'Enfant§Les Apôtres,,,,,,,,d43cb3f5-ab3d-4281-9575-93d25f64c8f8_003§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_004§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_005§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_006§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_007§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_008§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_009§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_010§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_011§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_012§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_013§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_014§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_015§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_016§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_017§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_018§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_019§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_020§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_021,d43cb3f5-ab3d-4281-9575-93d25f64c8f8_001§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_002,"Brancaleon, Nicolò Vers 1480 - Vers 1525, de, Les douze apôtres, la Vierge et l'Enfant, peinture (Vers 1480 - Vers 1520)",https://agorha.inha.fr/ark:/54721/d43cb3f5-ab3d-4281-9575-93d25f64c8f8,d43cb3f5-ab3d-4281-9575-93d25f64c8f8,smirabau,16/07/2021,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/d43cb3f5-ab3d-4281-9575-93d25f64c8f8,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
"Vierge allaitant, Kwarata re'esu, suppliant, Crucifixion",peinture§triptyque,,3524,Musée de l'Institute of Ethiopian Studies à ajouter,,18e siècle§1740-1755,1701§1800§1740§1755,Datation de Chojnacki (2000),Ethiopie§Gondar?,"9,39.5",,,,,,Vierge à l'Enfant§Crucifixion,,,,,,,,,,"Vierge allaitant, Kwarata re'esu, suppliant, Crucifixion, peinture (18e siècle - )",https://agorha.inha.fr/ark:/54721/a77d471f-b79e-4733-a3ec-df53c9d00a9c,a77d471f-b79e-4733-a3ec-df53c9d00a9c,smirabau,16/07/2021,07/02/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/a77d471f-b79e-4733-a3ec-df53c9d00a9c,http://agorha.inha.fr/ark:/54721/1db92698-02b0-44b2-931d-4f0ca24acf02/doc/35063ea5-466f-4ab3-a163-b5e6116c0e01/original.JPG
Saints,peinture§diptyque,,4053,Musée de l'Institute of Ethiopian Studies à ajouter,,15e siècle,1401§1500§1401§1500,,Ethiopie§Godjam?,"9,39.5",Ferē Ṣeyon,,,Attribution M. Heldmann,,saint,,,,,,,,,,"Anonyme éthiopien (peintre) - 15e siècle 15e siècle - , attribué à, Saints, peinture (15e siècle - )",https://agorha.inha.fr/ark:/54721/a95ee434-2018-47a0-81a2-8e29fba5b449,a95ee434-2018-47a0-81a2-8e29fba5b449,smirabau,13/07/2021,07/02/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/a95ee434-2018-47a0-81a2-8e29fba5b449,http://agorha.inha.fr/ark:/54721/db3b550d-ebb1-4e9e-a82d-738b23c9ea72/doc/9a87053b-7bcc-43de-8a45-d5ea450f5503/original.jpg
